Day,Average Temperature (°C),Maximum temperature (°C),Minimum temperature (°C),Atmospheric pressure at sea level (hPa),Average relative humidity (%),Total rainfall (mm),Average visibility (Km),Average wind speed (Km/h),Maximum sustained wind speed (Km/h),Maximum speed of wind (Km/h),Total days it rained,Total days that snowed,Total days with thunderstorm,Total days with fog,date
1,30.6,37.9,25.0,1013.9,39.0,0.0,4.0,4.6,11.1,-,,,,,1-11-2023
2,30.3,38.2,23.5,1013.2,37.0,0.0,4.0,5.6,14.8,-,,,,,2-11-2023
3,29.8,36.8,24.4,1010.9,51.0,0.0,4.0,8.7,18.3,-,,,,,3-11-2023
4,29.8,34.1,26.0,1011.3,68.0,0.0,4.0,5.7,14.8,-,,,,,4-11-2023
5,28.8,36.1,23.5,1013.1,59.0,0.0,3.7,4.6,14.8,-,,,,,5-11-2023
6,29.3,36.4,21.5,1013.7,48.0,0.0,3.7,3.1,7.6,-,,,,,6-11-2023
7,28.9,34.5,23.1,1013.5,42.0,0.0,4.0,10.6,18.3,-,,,,,7-11-2023
8,27.8,33.5,23.0,1013.3,53.0,0.0,3.5,4.3,18.3,-,,,,,8-11-2023
9,27.8,34.1,22.5,1013.8,61.0,0.0,3.2,4.3,11.1,-,,,,,9-11-2023
10,28.2,35.7,22.3,1014.9,37.0,0.0,4.5,6.1,11.1,-,,,,,10-11-2023
11,26.9,34.8,20.5,1017.8,33.0,0.0,4.0,5.6,11.1,-,,,,,11-11-2023
12,25.4,34.5,17.5,1017.3,46.0,0.0,3.7,4.6,11.1,-,,,,,12-11-2023
13,25.4,32.8,19.0,1016.2,57.0,0.0,4.0,3.7,11.1,-,,,,,13-11-2023
14,26.3,32.5,19.1,1016.3,34.0,0.0,4.0,12.2,22.2,-,,,,,14-11-2023
15,25.9,31.5,21.5,1016.4,35.0,0.0,4.0,11.7,14.8,-,,,,,15-11-2023
16,25.4,31.7,20.5,1016.9,34.0,0.0,4.0,8.3,11.1,-,,,,,16-11-2023
17,24.9,30.4,20.0,1016.9,34.0,0.0,3.7,13.5,22.2,-,,,,,17-11-2023
18,24.6,31.5,19.5,1015.3,41.0,0.0,2.1,7.0,11.1,-,,,,,18-11-2023
19,24.0,31.3,16.0,1015.5,38.0,0.0,0.8,7.4,14.8,-,,,,,19-11-2023
20,25.7,30.9,21.0,1016.1,36.0,0.0,1.6,13.9,22.2,-,,,,,20-11-2023
21,25.1,31.7,20.0,1015.9,37.0,0.0,2.7,11.1,14.8,-,,,,,21-11-2023
22,24.9,31.5,16.7,1014.2,49.0,0.0,3.2,6.5,14.8,-,,,,,22-11-2023
23,25.5,34.2,17.5,1010.8,67.0,0.0,2.6,2.2,7.6,-,,,,,23-11-2023
24,25.1,31.1,18.5,1013.1,50.0,0.0,2.4,12.4,18.3,-,,,,,24-11-2023
25,25.7,30.6,19.0,1013.9,38.0,0.0,2.9,14.3,22.2,-,o,,o,,25-11-2023
26,21.6,27.5,18.0,1014.6,60.0,5.59,4.0,13.5,22.2,-,o,,o,,26-11-2023
27,22.4,28.2,17.5,1014.4,50.0,0.0,2.1,12.0,22.2,-,,,,,27-11-2023
28,22.1,28.8,17.5,1014.8,46.0,0.0,1.8,9.6,18.3,-,,,,,28-11-2023
29,22.5,29.9,15.8,1015.1,45.0,0.0,2.9,6.1,11.1,-,,,,,29-11-2023
30,22.3,29.5,15.6,1015.8,60.0,0.0,2.4,3.7,7.6,-,,,,,30-11-2023
1,23.3,30.2,16,1016.3,43,0,3.7,8.7,22.2,-,,,,,1-12-2023
2,23.2,29.3,16.5,1016.3,44,0,3.4,12.4,18.3,-,,,,,2-12-2023
3,23.3,30.2,17.5,1016.6,41,0,3.2,9.3,18.3,-,,,,,3-12-2023
4,22.6,30.5,15.1,1016.2,43,0,3.7,7,11.1,-,,,,,4-12-2023
5,22.4,30.2,15,1015.5,43,0,4,5.6,14.8,-,,,,,5-12-2023
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6-12-2023
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7-12-2023
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8-12-2023
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9-12-2023
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10-12-2023
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11-12-2023
12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12-12-2023
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13-12-2023
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14-12-2023
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15-12-2023
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16-12-2023
17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17-12-2023
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18-12-2023
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19-12-2023
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20-12-2023
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21-12-2023
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22-12-2023
23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23-12-2023
24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24-12-2023
25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25-12-2023
26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26-12-2023
27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27-12-2023
28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28-12-2023
29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29-12-2023
30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30-12-2023
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31-12-2023
